"event","experiment time","system time","system time text"
"START",0.000000000E0,1770578967.496,"2026-02-08 22:29:27.496 UTC+03:00"
"PAUSE",6.541662446E0,1770578974.038,"2026-02-08 22:29:34.038 UTC+03:00"
