"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.167465600E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
1.646382300E-2,-2.383694053E-3,3.607422113E-3,3.590583801E-3,5.620301031E-3
2.125283300E-2,-3.212153912E-3,-1.988351345E-2,-1.834392548E-2,2.724282735E-2
2.604189600E-2,-4.256188869E-3,-1.306846738E-2,-2.989768982E-3,1.406551463E-2
3.083095800E-2,8.024632931E-3,-1.233938336E-2,1.437187195E-3,1.478920628E-2
3.561996900E-2,1.263447106E-2,-2.299636602E-3,1.714897156E-2,2.142441161E-2
4.040903100E-2,-1.437336206E-3,-1.842167974E-2,-3.761291504E-3,1.885660450E-2
4.519809400E-2,5.063325167E-3,6.893962622E-3,9.271621704E-3,1.261455316E-2
4.998710400E-2,6.643116474E-3,-6.652593613E-3,-1.728248596E-2,1.967415359E-2
5.477616600E-2,-4.932135344E-4,-5.953490734E-3,-1.986026764E-2,2.073927535E-2
5.956522900E-2,-4.836082458E-3,9.821981192E-3,-1.370525360E-2,1.754117967E-2
6.435429100E-2,-1.095235348E-4,-1.930296421E-3,-3.789901733E-3,4.254573401E-3
6.914330200E-2,-1.387894154E-4,-6.192028522E-3,-3.499031067E-3,7.113627635E-3
7.393236400E-2,2.108305693E-3,-1.021268964E-2,-7.692337036E-3,1.295824184E-2
7.872142700E-2,1.323103905E-2,-2.071753144E-2,1.068782806E-2,2.680496544E-2
8.351043700E-2,1.250216365E-2,-1.271274686E-2,5.536079407E-3,1.866992779E-2
8.829950000E-2,-8.485540748E-3,-1.643428206E-2,-6.049156189E-3,1.945976154E-2
9.308856200E-2,-2.158454061E-2,2.565294504E-3,-1.193046570E-3,2.176916372E-2
9.787757300E-2,-1.141963899E-2,-8.896619081E-3,-1.473236084E-2,2.065430807E-2
1.026666350E-1,2.833649516E-3,-6.170570850E-3,-4.901885986E-3,8.374604493E-3
1.074556980E-1,9.551867843E-3,7.776349783E-3,-4.668235779E-3,1.317202416E-2
1.122447600E-1,-9.191066027E-3,5.487799644E-4,6.962776184E-3,1.154370419E-2
1.170337710E-1,-1.340721548E-2,-2.012285590E-2,-7.075309753E-3,2.519410178E-2
1.218228330E-1,-1.974008977E-2,-1.239684224E-2,-1.595401764E-2,2.824683205E-2
1.266118960E-1,-7.504120469E-3,1.917213202E-3,-1.072216034E-2,1.322695176E-2
1.314009060E-1,6.551757455E-3,4.122704268E-3,1.192092896E-3,7.832196480E-3
1.361899690E-1,1.689389348E-3,1.673430204E-3,1.266860962E-2,1.288984386E-2
1.409790310E-1,1.591473818E-3,1.774358749E-2,5.292892456E-3,1.858446654E-2
1.457680410E-1,-3.122523427E-3,3.248840570E-3,4.873275757E-4,4.532395147E-3
1.505571040E-1,-7.457435131E-4,8.357465267E-4,9.721755981E-3,9.786068925E-3
1.553461660E-1,3.925472498E-3,8.170306683E-4,1.635646820E-2,1.684075193E-2
1.601351770E-1,6.082177162E-3,-8.501797915E-3,-5.019187927E-3,1.159593438E-2
1.649242390E-1,1.052711904E-2,-8.236497641E-3,2.093315125E-3,1.352930511E-2
1.697133020E-1,-1.301744580E-2,-1.724869013E-2,8.999824524E-3,2.340871735E-2
1.745023120E-1,5.968779325E-3,1.846283674E-3,4.096031189E-3,7.470780518E-3
1.792913750E-1,5.819842219E-3,-9.829103947E-3,3.983497620E-3,1.209752459E-2
1.840804370E-1,1.962095499E-2,2.073791623E-2,1.318931580E-2,3.144838780E-2
