"event","experiment time","system time","system time text"
"START",0.000000000E0,1770578894.576,"2026-02-08 22:28:14.576 UTC+03:00"
"PAUSE",4.521989738E0,1770578899.098,"2026-02-08 22:28:19.098 UTC+03:00"
