sample,time_s,az_ms2
0,0.000000,0.028730
1,0.004000,-0.009577
2,0.008000,-0.007183
3,0.012000,0.052672
4,0.016000,-0.122104
5,0.020000,0.045490
6,0.024000,0.000000
7,0.028000,-0.023942
8,0.032000,0.007183
9,0.036000,0.038307
10,0.040000,0.000000
11,0.044000,-0.002394
12,0.048000,0.038307
13,0.052000,-0.031125
14,0.056000,-0.064643
15,0.060000,-0.014365
16,0.064000,0.011971
17,0.068000,0.038307
18,0.072000,0.059855
19,0.076000,0.026336
20,0.080000,0.007183
21,0.084000,-0.033519
22,0.088000,-0.035913
23,0.092000,0.047884
24,0.096000,0.040701
25,0.100000,0.016759
26,0.104000,0.064643
27,0.108000,-0.033519
28,0.112000,0.011971
29,0.116000,-0.052672
30,0.120000,-0.031125
31,0.124000,-0.014365
32,0.128000,0.026336
33,0.132000,-0.009577
34,0.136000,-0.028730
35,0.140000,0.014365
36,0.144000,0.014365
37,0.148000,-0.002394
38,0.152000,-0.069432
39,0.156000,-0.021548
40,0.160000,-0.045490
41,0.164000,0.016759
42,0.168000,-0.033519
43,0.172000,0.033519
44,0.176000,0.028730
45,0.180000,0.064643
46,0.184000,0.009577
47,0.188000,0.050278
48,0.192000,0.004788
49,0.196000,0.002394
50,0.200000,0.009577
51,0.204000,0.007183
52,0.208000,0.026336
53,0.212000,0.062249
54,0.216000,-0.026336
55,0.220000,-0.043096
56,0.224000,0.026336
57,0.228000,0.002394
58,0.232000,0.074220
59,0.236000,0.031125
60,0.240000,-0.004788
61,0.244000,0.014365
62,0.248000,0.040701
63,0.252000,-0.028730
64,0.256000,-0.062249
65,0.260000,0.000000
66,0.264000,0.026336
67,0.268000,-0.011971
68,0.272000,0.062249
69,0.276000,-0.043096
70,0.280000,-0.016759
71,0.284000,0.019154
72,0.288000,0.019154
73,0.292000,-0.014365
74,0.296000,0.095768
75,0.300000,-0.002394
76,0.304000,-0.088585
77,0.308000,0.026336
78,0.312000,0.040701
79,0.316000,-0.023942
80,0.320000,0.038307
81,0.324000,0.007183
82,0.328000,-0.004788
83,0.332000,0.043096
84,0.336000,-0.007183
85,0.340000,-0.059855
