sample,time_s,az_ms2
0,0.000000,-0.043096
1,0.004000,0.026336
2,0.008000,0.009577
3,0.012000,0.009577
4,0.016000,0.035913
5,0.020000,0.004788
6,0.024000,-0.019154
7,0.028000,0.035913
8,0.032000,0.050278
9,0.036000,-0.014365
10,0.040000,0.009577
11,0.044000,0.057461
12,0.048000,0.031125
13,0.052000,-0.019154
14,0.056000,0.016759
15,0.060000,0.028730
16,0.064000,0.038307
17,0.068000,-0.033519
18,0.072000,-0.021548
19,0.076000,0.021548
20,0.080000,-0.019154
21,0.084000,-0.004788
22,0.088000,-0.057461
23,0.092000,-0.002394
24,0.096000,-0.040701
25,0.100000,0.009577
26,0.104000,-0.050278
27,0.108000,0.059855
28,0.112000,0.050278
29,0.116000,0.002394
30,0.120000,0.002394
31,0.124000,0.052672
32,0.128000,-0.019154
33,0.132000,-0.019154
34,0.136000,-0.031125
35,0.140000,-0.062249
36,0.144000,-0.028730
37,0.148000,0.019154
38,0.152000,-0.016759
39,0.156000,-0.040701
40,0.160000,-0.040701
41,0.164000,0.023942
42,0.168000,0.062249
43,0.172000,-0.004788
44,0.176000,-0.045490
45,0.180000,0.081403
46,0.184000,-0.007183
47,0.188000,-0.023942
48,0.192000,-0.033519
49,0.196000,-0.016759
50,0.200000,-0.007183
51,0.204000,-0.031125
52,0.208000,-0.045490
53,0.212000,0.023942
54,0.216000,0.062249
55,0.220000,-0.016759
56,0.224000,0.093374
57,0.228000,-0.062249
58,0.232000,-0.062249
59,0.236000,-0.016759
60,0.240000,-0.014365
61,0.244000,0.000000
62,0.248000,-0.045490
63,0.252000,0.043096
64,0.256000,0.040701
65,0.260000,0.009577
66,0.264000,-0.002394
67,0.268000,-0.045490
68,0.272000,-0.014365
69,0.276000,0.019154
70,0.280000,0.023942
71,0.284000,0.045490
72,0.288000,0.047884
73,0.292000,-0.002394
74,0.296000,-0.043096
75,0.300000,-0.004788
76,0.304000,0.028730
77,0.308000,-0.009577
78,0.312000,0.002394
79,0.316000,0.055067
80,0.320000,0.031125
81,0.324000,-0.002394
82,0.328000,0.083797
83,0.332000,-0.059855
84,0.336000,-0.057461
85,0.340000,0.002394
86,0.344000,0.002394
87,0.348000,0.028730
88,0.352000,-0.055067
89,0.356000,0.035913
90,0.360000,-0.019154
91,0.364000,-0.035913
92,0.368000,0.057461
93,0.372000,0.014365
94,0.376000,-0.009577
95,0.380000,-0.016759
96,0.384000,0.011971
97,0.388000,-0.002394
98,0.392000,-0.002394
99,0.396000,-0.023942
100,0.400000,0.038307
101,0.404000,0.045490
102,0.408000,0.000000
103,0.412000,0.016759
104,0.416000,0.083797
105,0.420000,0.031125
106,0.424000,0.079009
107,0.428000,0.026336
108,0.432000,-0.007183
109,0.436000,0.076614
110,0.440000,-0.011971
111,0.444000,-0.052672
112,0.448000,-0.031125
113,0.452000,-0.023942
114,0.456000,0.011971
115,0.460000,-0.035913
116,0.464000,0.009577
117,0.468000,0.023942
118,0.472000,-0.028730
119,0.476000,-0.016759
120,0.480000,0.050278
121,0.484000,0.019154
122,0.488000,-0.002394
123,0.492000,-0.004788
124,0.496000,-0.011971
125,0.500000,0.007183
126,0.504000,0.004788
127,0.508000,0.016759
128,0.512000,0.014365
129,0.516000,0.045490
