sample,time_s,az_ms2
0,0.000000,-0.038307
1,0.004000,-0.011971
2,0.008000,0.011971
3,0.012000,0.035913
4,0.016000,-0.002394
5,0.020000,-0.021548
6,0.024000,0.047884
7,0.028000,-0.004788
8,0.032000,0.055067
9,0.036000,-0.045490
10,0.040000,-0.040701
11,0.044000,-0.026336
12,0.048000,-0.026336
13,0.052000,-0.004788
14,0.056000,0.038307
15,0.060000,0.004788
16,0.064000,0.062249
17,0.068000,0.026336
18,0.072000,0.026336
19,0.076000,0.009577
20,0.080000,0.040701
21,0.084000,0.016759
22,0.088000,-0.038307
23,0.092000,-0.083797
24,0.096000,-0.014365
25,0.100000,0.043096
26,0.104000,-0.067038
27,0.108000,-0.033519
28,0.112000,-0.009577
29,0.116000,0.011971
30,0.120000,-0.019154
31,0.124000,-0.043096
32,0.128000,-0.062249
33,0.132000,-0.059855
34,0.136000,-0.047884
35,0.140000,0.011971
36,0.144000,0.033519
37,0.148000,0.055067
38,0.152000,-0.050278
39,0.156000,-0.002394
40,0.160000,-0.016759
41,0.164000,-0.038307
42,0.168000,0.050278
43,0.172000,0.055067
44,0.176000,0.007183
45,0.180000,-0.026336
46,0.184000,-0.057461
47,0.188000,-0.019154
48,0.192000,-0.035913
49,0.196000,0.004788
50,0.200000,0.016759
51,0.204000,-0.038307
52,0.208000,-0.023942
53,0.212000,0.043096
54,0.216000,-0.007183
55,0.220000,0.019154
56,0.224000,0.031125
57,0.228000,-0.007183
58,0.232000,0.004788
59,0.236000,-0.045490
60,0.240000,0.110133
61,0.244000,-0.021548
62,0.248000,-0.052672
63,0.252000,-0.007183
64,0.256000,-0.043096
65,0.260000,-0.019154
66,0.264000,0.019154
67,0.268000,-0.055067
68,0.272000,-0.040701
69,0.276000,0.023942
70,0.280000,-0.011971
71,0.284000,0.019154
72,0.288000,0.021548
73,0.292000,-0.016759
74,0.296000,-0.067038
75,0.300000,-0.016759
76,0.304000,0.014365
77,0.308000,0.023942
78,0.312000,0.009577
79,0.316000,-0.004788
80,0.320000,0.007183
81,0.324000,-0.021548
82,0.328000,0.000000
83,0.332000,0.000000
84,0.336000,-0.002394
85,0.340000,-0.028730
86,0.344000,0.019154
87,0.348000,-0.023942
88,0.352000,-0.016759
89,0.356000,0.023942
90,0.360000,-0.052672
91,0.364000,0.062249
92,0.368000,-0.014365
93,0.372000,0.040701
94,0.376000,0.000000
95,0.380000,0.019154
96,0.384000,0.009577
97,0.388000,-0.016759
98,0.392000,0.014365
99,0.396000,-0.019154
100,0.400000,0.011971
101,0.404000,-0.021548
102,0.408000,0.033519
103,0.412000,-0.035913
104,0.416000,-0.045490
105,0.420000,0.035913
106,0.424000,0.011971
107,0.428000,-0.026336
108,0.432000,-0.071826
109,0.436000,0.009577
110,0.440000,-0.035913
111,0.444000,0.014365
112,0.448000,-0.057461
113,0.452000,-0.067038
114,0.456000,0.081403
115,0.460000,0.031125
116,0.464000,0.009577
117,0.468000,0.031125
118,0.472000,0.047884
119,0.476000,-0.011971
120,0.480000,0.059855
121,0.484000,-0.002394
122,0.488000,-0.031125
123,0.492000,0.021548
124,0.496000,0.016759
125,0.500000,-0.021548
126,0.504000,0.019154
127,0.508000,0.057461
128,0.512000,0.040701
129,0.516000,-0.045490
130,0.520000,0.031125
131,0.524000,-0.021548
132,0.528000,0.004788
133,0.532000,0.009577
134,0.536000,-0.002394
135,0.540000,0.009577
136,0.544000,-0.009577
137,0.548000,0.011971
138,0.552000,0.023942
139,0.556000,-0.011971
140,0.560000,-0.031125
141,0.564000,-0.021548
142,0.568000,0.000000
143,0.572000,0.011971
144,0.576000,0.007183
145,0.580000,-0.021548
146,0.584000,0.040701
147,0.588000,-0.002394
148,0.592000,-0.083797
149,0.596000,0.076614
150,0.600000,-0.026336
151,0.604000,-0.007183
152,0.608000,-0.035913
153,0.612000,-0.019154
154,0.616000,0.028730
155,0.620000,0.026336
156,0.624000,-0.007183
157,0.628000,0.016759
158,0.632000,-0.045490
159,0.636000,0.040701
160,0.640000,-0.016759
161,0.644000,-0.023942
162,0.648000,0.002394
163,0.652000,0.011971
164,0.656000,-0.047884
165,0.660000,0.007183
166,0.664000,0.062249
167,0.668000,-0.002394
168,0.672000,-0.014365
169,0.676000,-0.040701
170,0.680000,0.055067
171,0.684000,-0.023942
172,0.688000,0.026336
173,0.692000,-0.043096
174,0.696000,-0.007183
175,0.700000,-0.014365
176,0.704000,-0.009577
177,0.708000,0.000000
178,0.712000,-0.033519
179,0.716000,0.000000
180,0.720000,0.002394
181,0.724000,0.028730
182,0.728000,-0.026336
183,0.732000,-0.004788
184,0.736000,0.028730
185,0.740000,0.002394
186,0.744000,-0.059855
187,0.748000,-0.007183
188,0.752000,0.035913
189,0.756000,-0.028730
190,0.760000,-0.021548
191,0.764000,0.011971
192,0.768000,-0.007183
193,0.772000,0.019154
194,0.776000,-0.026336
195,0.780000,-0.004788
196,0.784000,0.021548
197,0.788000,-0.045490
198,0.792000,-0.031125
199,0.796000,-0.045490
200,0.800000,0.007183
201,0.804000,-0.021548
202,0.808000,0.021548
203,0.812000,-0.062249
204,0.816000,-0.062249
205,0.820000,0.031125
206,0.824000,0.004788
207,0.828000,0.004788
208,0.832000,0.016759
209,0.836000,-0.011971
210,0.840000,0.002394
211,0.844000,-0.023942
212,0.848000,-0.011971
213,0.852000,-0.023942
214,0.856000,0.035913
215,0.860000,-0.047884
216,0.864000,-0.074220
217,0.868000,0.009577
218,0.872000,0.023942
219,0.876000,0.055067
220,0.880000,-0.055067
221,0.884000,-0.057461
222,0.888000,-0.069432
223,0.892000,-0.019154
224,0.896000,-0.040701
225,0.900000,-0.067038
226,0.904000,0.040701
227,0.908000,0.062249
228,0.912000,0.007183
229,0.916000,0.009577
230,0.920000,-0.014365
231,0.924000,0.007183
232,0.928000,-0.105345
233,0.932000,-0.040701
234,0.936000,0.026336
235,0.940000,0.000000
236,0.944000,0.019154
237,0.948000,0.002394
238,0.952000,0.026336
239,0.956000,0.011971
240,0.960000,-0.007183
241,0.964000,-0.019154
242,0.968000,0.045490
243,0.972000,-0.014365
244,0.976000,-0.021548
245,0.980000,0.052672
246,0.984000,-0.014365
247,0.988000,-0.019154
248,0.992000,-0.047884
249,0.996000,0.011971
250,1.000000,0.043096
251,1.004000,0.000000
252,1.008000,-0.079009
253,1.012000,-0.007183
254,1.016000,-0.023942
255,1.020000,-0.026336
256,1.024000,-0.009577
257,1.028000,-0.009577
258,1.032000,-0.033519
259,1.036000,0.023942
260,1.040000,-0.028730
261,1.044000,-0.028730
262,1.048000,0.052672
263,1.052000,-0.021548
264,1.056000,-0.052672
265,1.060000,0.019154
266,1.064000,-0.011971
267,1.068000,-0.057461
268,1.072000,-0.019154
269,1.076000,-0.026336
270,1.080000,-0.028730
271,1.084000,0.016759
272,1.088000,0.000000
273,1.092000,0.002394
274,1.096000,0.076614
275,1.100000,-0.090980
276,1.104000,-0.007183
277,1.108000,-0.045490
278,1.112000,-0.019154
279,1.116000,0.033519
280,1.120000,0.004788
281,1.124000,-0.040701
282,1.128000,-0.028730
283,1.132000,-0.026336
284,1.136000,0.016759
285,1.140000,-0.014365
286,1.144000,-0.035913
287,1.148000,-0.026336
288,1.152000,-0.014365
289,1.156000,-0.090980
290,1.160000,0.019154
291,1.164000,0.067038
292,1.168000,0.040701
293,1.172000,0.095768
294,1.176000,0.090980
295,1.180000,-0.064643
296,1.184000,-0.126893
297,1.188000,-0.114922
298,1.192000,-0.064643
299,1.196000,0.011971
300,1.200000,0.038307
301,1.204000,0.114922
302,1.208000,0.011971
303,1.212000,-0.023942
304,1.216000,-0.026336
305,1.220000,0.033519
306,1.224000,0.023942
307,1.228000,-0.050278
308,1.232000,-0.050278
309,1.236000,-0.035913
310,1.240000,-0.062249
311,1.244000,0.007183
312,1.248000,0.000000
313,1.252000,0.026336
314,1.256000,0.007183
315,1.260000,0.026336
316,1.264000,0.105345
317,1.268000,0.023942
318,1.272000,-0.011971
319,1.276000,-0.102951
320,1.280000,-0.047884
321,1.284000,-0.057461
322,1.288000,0.014365
323,1.292000,-0.023942
324,1.296000,-0.038307
325,1.300000,0.009577
326,1.304000,-0.057461
327,1.308000,0.023942
328,1.312000,-0.011971
329,1.316000,0.014365
330,1.320000,0.031125
331,1.324000,-0.047884
