sample,time_s,az_ms2
0,0.000000,0.009577
1,0.004000,0.016759
2,0.008000,0.050278
3,0.012000,-0.011971
4,0.016000,0.035913
5,0.020000,0.007183
6,0.024000,0.019154
7,0.028000,-0.009577
8,0.032000,0.050278
9,0.036000,0.043096
10,0.040000,-0.019154
11,0.044000,-0.028730
12,0.048000,0.043096
13,0.052000,0.021548
14,0.056000,-0.004788
15,0.060000,-0.019154
16,0.064000,-0.021548
17,0.068000,0.043096
18,0.072000,0.026336
19,0.076000,0.023942
20,0.080000,-0.016759
21,0.084000,-0.031125
22,0.088000,0.007183
23,0.092000,-0.033519
24,0.096000,-0.004788
25,0.100000,-0.062249
26,0.104000,0.033519
27,0.108000,0.019154
28,0.112000,0.014365
29,0.116000,-0.045490
30,0.120000,-0.004788
31,0.124000,-0.057461
32,0.128000,-0.059855
33,0.132000,-0.011971
34,0.136000,0.098162
35,0.140000,0.011971
36,0.144000,0.002394
37,0.148000,-0.035913
38,0.152000,-0.038307
39,0.156000,0.009577
40,0.160000,0.004788
41,0.164000,-0.026336
42,0.168000,0.007183
43,0.172000,0.045490
44,0.176000,0.009577
45,0.180000,-0.011971
46,0.184000,-0.009577
47,0.188000,-0.047884
48,0.192000,0.000000
49,0.196000,-0.011971
50,0.200000,-0.047884
51,0.204000,-0.064643
52,0.208000,-0.002394
53,0.212000,-0.019154
54,0.216000,-0.038307
55,0.220000,0.038307
56,0.224000,-0.016759
57,0.228000,-0.055067
58,0.232000,0.028730
59,0.236000,-0.026336
60,0.240000,-0.004788
61,0.244000,0.004788
62,0.248000,0.014365
63,0.252000,0.050278
64,0.256000,-0.033519
65,0.260000,0.011971
66,0.264000,0.057461
67,0.268000,0.033519
68,0.272000,-0.019154
69,0.276000,-0.023942
70,0.280000,-0.011971
71,0.284000,-0.002394
72,0.288000,0.040701
73,0.292000,-0.045490
74,0.296000,0.014365
75,0.300000,-0.064643
76,0.304000,-0.031125
77,0.308000,-0.059855
78,0.312000,-0.009577
79,0.316000,-0.009577
80,0.320000,-0.038307
81,0.324000,0.014365
82,0.328000,-0.064643
83,0.332000,0.021548
84,0.336000,0.004788
85,0.340000,0.009577
86,0.344000,-0.007183
87,0.348000,0.043096
88,0.352000,-0.031125
89,0.356000,0.033519
90,0.360000,0.021548
91,0.364000,-0.014365
92,0.368000,-0.011971
93,0.372000,-0.023942
94,0.376000,-0.004788
95,0.380000,-0.086191
96,0.384000,-0.023942
97,0.388000,-0.004788
98,0.392000,0.000000
99,0.396000,0.031125
100,0.400000,-0.074220
101,0.404000,-0.021548
102,0.408000,0.079009
103,0.412000,-0.033519
104,0.416000,0.002394
105,0.420000,-0.122104
106,0.424000,0.023942
107,0.428000,-0.033519
108,0.432000,-0.079009
109,0.436000,0.000000
110,0.440000,0.007183
111,0.444000,-0.067038
112,0.448000,0.074220
113,0.452000,-0.031125
114,0.456000,-0.002394
115,0.460000,0.064643
116,0.464000,-0.004788
117,0.468000,0.026336
118,0.472000,-0.007183
119,0.476000,-0.023942
120,0.480000,-0.002394
121,0.484000,0.002394
122,0.488000,-0.019154
123,0.492000,-0.011971
124,0.496000,-0.002394
125,0.500000,-0.011971
126,0.504000,0.002394
127,0.508000,0.043096
128,0.512000,-0.045490
129,0.516000,-0.062249
130,0.520000,-0.016759
131,0.524000,0.028730
132,0.528000,0.007183
133,0.532000,0.040701
134,0.536000,0.040701
135,0.540000,-0.026336
136,0.544000,-0.033519
137,0.548000,0.004788
138,0.552000,0.026336
139,0.556000,-0.038307
140,0.560000,0.035913
141,0.564000,-0.016759
142,0.568000,-0.011971
143,0.572000,0.014365
144,0.576000,-0.050278
145,0.580000,-0.050278
146,0.584000,0.002394
147,0.588000,0.011971
148,0.592000,0.016759
149,0.596000,0.071826
150,0.600000,-0.026336
151,0.604000,0.050278
152,0.608000,0.067038
153,0.612000,-0.016759
154,0.616000,0.079009
155,0.620000,0.023942
156,0.624000,0.028730
157,0.628000,0.009577
158,0.632000,0.028730
159,0.636000,0.035913
160,0.640000,0.086191
161,0.644000,-0.038307
162,0.648000,-0.033519
163,0.652000,-0.009577
164,0.656000,0.069432
165,0.660000,-0.047884
166,0.664000,0.026336
167,0.668000,0.026336
168,0.672000,0.050278
169,0.676000,-0.007183
170,0.680000,0.033519
171,0.684000,-0.062249
172,0.688000,0.021548
173,0.692000,-0.026336
174,0.696000,0.026336
175,0.700000,0.031125
176,0.704000,0.021548
177,0.708000,0.000000
178,0.712000,0.050278
179,0.716000,-0.033519
180,0.720000,0.002394
181,0.724000,0.040701
182,0.728000,-0.038307
183,0.732000,0.004788
184,0.736000,0.026336
185,0.740000,0.035913
186,0.744000,-0.050278
187,0.748000,-0.031125
188,0.752000,0.019154
189,0.756000,-0.071826
190,0.760000,-0.004788
191,0.764000,0.074220
192,0.768000,0.019154
193,0.772000,-0.007183
194,0.776000,0.052672
195,0.780000,-0.019154
196,0.784000,0.004788
197,0.788000,-0.004788
198,0.792000,0.031125
199,0.796000,0.000000
200,0.800000,-0.007183
201,0.804000,-0.026336
202,0.808000,-0.004788
203,0.812000,0.016759
204,0.816000,-0.002394
205,0.820000,-0.023942
206,0.824000,-0.009577
207,0.828000,0.011971
208,0.832000,-0.055067
209,0.836000,-0.071826
210,0.840000,-0.007183
211,0.844000,-0.031125
212,0.848000,-0.043096
213,0.852000,-0.007183
214,0.856000,-0.038307
215,0.860000,0.011971
216,0.864000,-0.069432
217,0.868000,-0.026336
218,0.872000,0.026336
219,0.876000,-0.023942
220,0.880000,-0.086191
221,0.884000,-0.007183
222,0.888000,-0.055067
223,0.892000,-0.035913
224,0.896000,0.002394
225,0.900000,0.019154
226,0.904000,0.000000
227,0.908000,0.023942
228,0.912000,0.031125
229,0.916000,-0.047884
230,0.920000,-0.031125
231,0.924000,0.009577
232,0.928000,-0.045490
233,0.932000,-0.071826
234,0.936000,-0.016759
235,0.940000,0.023942
236,0.944000,0.026336
237,0.948000,0.014365
238,0.952000,-0.004788
239,0.956000,0.059855
240,0.960000,0.000000
241,0.964000,0.038307
242,0.968000,0.019154
243,0.972000,-0.014365
244,0.976000,0.011971
245,0.980000,0.000000
246,0.984000,0.035913
247,0.988000,0.019154
248,0.992000,0.000000
249,0.996000,-0.004788
250,1.000000,0.026336
251,1.004000,-0.021548
252,1.008000,-0.002394
253,1.012000,0.014365
254,1.016000,0.014365
255,1.020000,-0.062249
256,1.024000,-0.007183
257,1.028000,-0.019154
258,1.032000,-0.043096
259,1.036000,0.011971
260,1.040000,-0.004788
261,1.044000,-0.038307
262,1.048000,-0.143652
263,1.052000,0.011971
264,1.056000,0.016759
265,1.060000,-0.021548
266,1.064000,-0.009577
267,1.068000,-0.052672
268,1.072000,0.004788
269,1.076000,-0.011971
270,1.080000,-0.038307
271,1.084000,-0.050278
272,1.088000,-0.035913
273,1.092000,0.035913
274,1.096000,-0.033519
275,1.100000,-0.062249
276,1.104000,-0.050278
277,1.108000,0.000000
278,1.112000,-0.011971
279,1.116000,0.023942
280,1.120000,-0.007183
281,1.124000,-0.045490
282,1.128000,0.026336
283,1.132000,0.009577
284,1.136000,-0.038307
285,1.140000,-0.045490
286,1.144000,-0.004788
287,1.148000,-0.050278
288,1.152000,0.023942
289,1.156000,0.074220
290,1.160000,0.038307
291,1.164000,-0.043096
292,1.168000,0.023942
293,1.172000,-0.007183
294,1.176000,-0.079009
295,1.180000,-0.009577
296,1.184000,0.009577
297,1.188000,0.038307
298,1.192000,0.009577
299,1.196000,0.035913
300,1.200000,-0.026336
301,1.204000,-0.040701
302,1.208000,0.014365
303,1.212000,0.016759
304,1.216000,0.011971
305,1.220000,0.021548
306,1.224000,0.000000
307,1.228000,-0.031125
308,1.232000,-0.361524
309,1.236000,-0.050278
310,1.240000,0.502782
311,1.244000,-0.162806
312,1.248000,0.162806
313,1.252000,0.007183
314,1.256000,-0.076614
315,1.260000,-0.177171
316,1.264000,0.088585
317,1.268000,-0.110133
318,1.272000,0.062249
319,1.276000,0.033519
320,1.280000,0.189142
321,1.284000,-0.031125
322,1.288000,0.016759
323,1.292000,-0.076614
324,1.296000,0.045490
325,1.300000,-0.023942
326,1.304000,-0.019154
327,1.308000,-0.023942
328,1.312000,-0.038307
329,1.316000,-0.004788
330,1.320000,-0.069432
331,1.324000,0.100556
332,1.328000,0.050278
333,1.332000,0.019154
334,1.336000,-0.038307
335,1.340000,0.016759
336,1.344000,0.000000
337,1.348000,-0.167594
338,1.352000,-0.009577
339,1.356000,-0.016759
340,1.360000,0.011971
341,1.364000,0.083797
342,1.368000,0.059855
343,1.372000,0.050278
344,1.376000,0.035913
345,1.380000,-0.004788
346,1.384000,0.023942
347,1.388000,-0.014365
348,1.392000,-0.059855
349,1.396000,-0.071826
350,1.400000,0.057461
351,1.404000,0.026336
352,1.408000,-0.007183
353,1.412000,-0.031125
354,1.416000,0.009577
355,1.420000,-0.047884
356,1.424000,0.021548
357,1.428000,0.033519
358,1.432000,0.026336
359,1.436000,0.083797
360,1.440000,-0.011971
361,1.444000,-0.045490
362,1.448000,-0.021548
363,1.452000,0.062249
364,1.456000,0.011971
365,1.460000,0.000000
366,1.464000,0.000000
367,1.468000,0.019154
368,1.472000,0.076614
369,1.476000,0.009577
370,1.480000,-0.021548
371,1.484000,-0.023942
372,1.488000,0.007183
373,1.492000,0.014365
374,1.496000,-0.023942
375,1.500000,0.019154
376,1.504000,0.000000
377,1.508000,0.055067
378,1.512000,0.038307
379,1.516000,0.052672
380,1.520000,-0.033519
381,1.524000,0.009577
382,1.528000,0.009577
383,1.532000,0.023942
384,1.536000,-0.016759
385,1.540000,0.055067
386,1.544000,-0.007183
387,1.548000,-0.023942
388,1.552000,0.009577
389,1.556000,-0.057461
390,1.560000,-0.028730
391,1.564000,-0.021548
392,1.568000,0.007183
393,1.572000,-0.021548
394,1.576000,0.021548
395,1.580000,0.014365
396,1.584000,0.031125
397,1.588000,-0.038307
398,1.592000,0.038307
399,1.596000,-0.349553
400,1.600000,0.612916
401,1.604000,-0.203507
402,1.608000,-0.119710
403,1.612000,0.093374
404,1.616000,-0.007183
405,1.620000,-0.222661
406,1.624000,-0.095768
407,1.628000,0.043096
408,1.632000,0.090980
409,1.636000,-0.031125
410,1.640000,-0.086191
411,1.644000,0.083797
412,1.648000,0.043096
413,1.652000,0.028730
414,1.656000,-0.062249
415,1.660000,0.011971
416,1.664000,-0.074220
417,1.668000,0.074220
418,1.672000,-0.064643
419,1.676000,0.009577
420,1.680000,-0.038307
421,1.684000,0.033519
422,1.688000,-0.016759
423,1.692000,0.110133
424,1.696000,0.023942
425,1.700000,0.028730
426,1.704000,-0.064643
427,1.708000,-0.002394
428,1.712000,0.009577
