sample,time_s,az_ms2
0,0.000000,0.001197
1,0.004789,-0.019940
2,0.009579,-0.049054
3,0.014368,-0.006702
4,0.019157,0.012362
5,0.023946,0.000342
6,0.028735,-0.003887
7,0.033525,-0.024725
8,0.038314,-0.022254
9,0.043103,-0.007181
10,0.047892,0.010965
11,0.052681,0.007915
12,0.057471,-0.001538
13,0.062260,-0.017071
14,0.067049,0.001942
15,0.071838,-0.004930
16,0.076628,-0.015954
17,0.081417,-0.010580
18,0.086206,-0.010051
19,0.090995,-0.007294
20,0.095784,-0.018382
21,0.100573,-0.001564
22,0.105363,0.012260
23,0.110152,0.009471
24,0.114941,-0.013901
25,0.119730,0.009655
26,0.124519,0.002390
27,0.129309,0.009240
28,0.134098,0.027438
29,0.138887,-0.001234
30,0.143676,0.003444
31,0.148466,0.010301
32,0.153255,0.000710
33,0.158044,-0.013258
34,0.162833,0.001068
35,0.167622,0.001040
36,0.172412,-0.001316
37,0.177201,0.003383
38,0.181990,-0.008367
39,0.186779,0.012846
40,0.191568,-0.006149
41,0.196358,0.001004
42,0.201147,0.000980
43,0.205936,0.000959
44,0.210728,-0.001402
45,0.215514,0.007996
46,0.220304,0.003145
47,0.225093,-0.006294
48,0.229881,0.003211
49,0.234577,-0.003890
50,0.239272,0.003224
51,0.243967,0.000814
52,0.248662,-0.015640
53,0.253358,-0.022404
54,0.258053,-0.003202
55,0.262748,-0.010198
56,0.267444,0.004086
57,0.272139,-0.026564
58,0.276834,-0.014356
59,0.281530,0.007065
60,0.286225,-0.009529
61,0.290920,-0.009376
62,0.295616,-0.006873
63,0.300311,-0.011482
64,0.305006,-0.011309
65,0.309701,-0.015854
66,0.314397,-0.013264
67,0.319092,-0.010715
68,0.323787,0.001231
69,0.328483,-0.001145
70,0.333178,-0.001130
71,0.337873,0.013044
72,0.342569,-0.008379
73,0.347264,-0.010627
74,0.351959,-0.003401
75,0.356655,-0.015166
76,0.361350,-0.010247
77,0.366045,-0.010118
78,0.370740,0.004186
79,0.375436,0.004135
80,0.380131,0.008812
81,0.384826,-0.000750
82,0.389522,-0.007833
83,0.394217,-0.012470
84,0.398912,-0.014689
85,0.403608,-0.007424
86,0.408303,0.013952
87,0.412998,-0.005131
88,0.417693,0.011490
89,0.422389,-0.005200
90,0.427084,-0.019342
91,0.431779,-0.012033
92,0.436475,0.004665
