"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.768662530E-1,-4.210859537E-3,-1.656319201E-2,-2.733135223E-2,3.223466275E-2
2.815610970E-1,-6.508469582E-3,-2.098964155E-2,-1.275825500E-2,2.541059423E-2
2.862559410E-1,-1.585790515E-2,-2.299755812E-2,2.040004730E-2,3.459079018E-2
2.909507850E-1,-6.171524525E-3,-3.442327678E-2,-1.524162292E-2,3.814913851E-2
2.956456280E-1,-6.059318781E-3,-3.384727240E-2,6.194114685E-3,3.493880721E-2
3.003404720E-1,-3.594964743E-3,-2.625049651E-2,-5.678176880E-3,2.709712219E-2
3.050353160E-1,-1.168787479E-3,-3.291398287E-2,-1.736927032E-2,3.723423000E-2
3.097302120E-1,-1.136243343E-3,-1.120549440E-2,-5.322456360E-3,1.245723466E-2
3.144250560E-1,3.553658724E-3,-1.103755832E-2,-5.311965942E-4,1.160768512E-2
3.191198990E-1,3.544270992E-3,-2.263468504E-2,6.551742554E-3,2.382889326E-2
3.238147430E-1,1.121550798E-3,5.991771817E-3,-2.975463867E-3,6.783258135E-3
3.285095870E-1,-3.597497940E-3,8.238360286E-3,-1.000976562E-2,1.345392060E-2
3.332044310E-1,-3.532558680E-3,1.278604567E-2,1.926422119E-3,1.340421713E-2
3.378992740E-1,-5.828768015E-3,1.255393028E-2,-1.461791992E-2,2.013105275E-2
3.425941180E-1,-1.753488183E-2,9.995445609E-3,-6.869888306E-2,7.160249679E-2
3.472889620E-1,-1.734036207E-2,9.834796190E-3,6.677532196E-2,6.968755266E-2
3.519838060E-1,3.248441219E-2,7.344350219E-3,1.060218811E-1,1.111297250E-1
3.566787010E-1,8.457928896E-3,2.619619668E-2,-1.244211197E-1,1.274299506E-1
3.613735450E-1,-1.140236855E-3,1.165810227E-2,-3.778457642E-2,3.955863627E-2
3.660683890E-1,-8.170783520E-3,2.560065687E-2,9.261894226E-2,9.643870489E-2
3.707632330E-1,3.691881895E-2,3.003226221E-2,-1.250267029E-2,4.920622654E-2
3.754580760E-1,8.060485125E-3,2.740797400E-2,-6.196689606E-2,6.823536229E-2
3.801529200E-1,-1.702696085E-3,1.289151609E-2,1.441669464E-2,1.941472239E-2
3.848477640E-1,1.248610020E-2,4.104338586E-2,3.551197052E-2,5.569167147E-2
3.895426080E-1,2.200165391E-2,2.397622168E-2,-1.218986511E-2,3.474945744E-2
3.942374510E-1,1.229670644E-2,1.659938693E-2,-2.622985840E-2,3.338793356E-2
3.989323470E-1,2.538383007E-3,1.407004893E-2,-1.883125305E-2,2.364372552E-2
4.036271910E-1,2.141392231E-2,-7.347017527E-3,-1.151847839E-2,2.540098580E-2
4.083220350E-1,1.180410385E-2,1.630964875E-2,-4.449748993E-2,4.884023055E-2
4.130168780E-1,4.641443491E-3,-7.639318705E-3,8.611774445E-2,8.658041405E-2
4.177117220E-1,-1.298785210E-4,6.646454334E-3,5.202865601E-2,5.245162790E-2
4.224065660E-1,-2.510130405E-3,9.055748582E-3,-8.105754852E-2,8.160045043E-2
4.271014100E-1,-9.710192680E-3,8.988708258E-3,-4.441261292E-3,1.395741810E-2
4.317962530E-1,-9.591966867E-3,2.064494789E-2,9.974575043E-2,1.023104805E-1
4.364910970E-1,-1.164564490E-2,2.279345691E-2,-6.464958191E-2,6.953223112E-2
4.411859410E-1,-3.518274426E-2,-1.292707026E-2,-7.343006134E-2,8.244336570E-2
4.458807850E-1,-4.449552298E-2,-2.702063322E-2,8.123111725E-2,9.648036377E-2
4.505756810E-1,-2.984011173E-2,1.591546834E-2,-1.239776611E-4,3.381936976E-2
4.552705240E-1,-2.227398753E-2,1.341481507E-2,-6.879234314E-2,7.354232971E-2
4.599653680E-1,-2.197715640E-2,-1.285561919E-2,5.269908905E-2,5.852739816E-2
4.646602120E-1,-2.887549996E-2,-1.751689613E-2,2.137088776E-2,3.996687368E-2
4.693550560E-1,-2.143868804E-2,8.747696877E-3,-5.464458466E-2,5.934787425E-2
4.740498990E-1,-1.653131843E-2,2.290748060E-2,2.407741547E-2,3.711817738E-2
4.787447430E-1,-4.593729973E-3,-5.802407861E-3,4.516124725E-2,4.576361596E-2
4.834395870E-1,2.602130175E-3,8.473068476E-3,-1.688480377E-2,1.906988645E-2
4.881344310E-1,2.590894699E-3,6.024286151E-3,4.606246948E-3,8.013879829E-3
4.928292740E-1,-2.273917198E-3,-1.061899960E-2,4.559516907E-3,1.177807482E-2
4.975241700E-1,2.375000715E-2,3.732457757E-3,-3.103923798E-2,3.926102870E-2
5.022190140E-1,1.640281081E-2,-1.049539447E-2,9.549140930E-3,2.168851309E-2
5.069138580E-1,2.571970224E-2,-5.683481693E-3,3.316688538E-2,4.235383493E-2
5.116087010E-1,4.206430912E-2,-1.985222101E-2,9.153366089E-3,4.740570526E-2
5.163035450E-1,3.452554345E-2,-1.486977935E-2,-2.649593353E-2,4.599084672E-2
5.209983890E-1,4.128566384E-2,-4.493147135E-4,-1.677131653E-2,4.456439140E-2
5.256932330E-1,3.141623735E-2,-3.124262393E-2,9.464263916E-3,4.530622265E-2
5.303880760E-1,5.018052459E-2,-1.436029375E-2,-2.475738525E-3,5.225353926E-2
5.350829200E-1,4.269397259E-2,-1.422999799E-2,-7.195472717E-3,4.557458684E-2
5.397777640E-1,4.467919469E-2,-2.358998358E-2,1.421451569E-2,5.248590496E-2
5.444726600E-1,2.767369151E-2,-3.049980104E-2,-7.257461548E-3,4.181796042E-2
5.491675030E-1,3.453928232E-2,-1.122853160E-2,1.178359985E-2,3.818239346E-2
5.538623470E-1,2.476903796E-2,-1.115727425E-2,-1.802444458E-4,2.716656950E-2
5.585571910E-1,2.931901813E-2,-2.295097709E-2,-7.295608521E-3,3.794177219E-2
5.632520350E-1,1.725175977E-2,-1.400366426E-3,-9.607315063E-3,1.979607900E-2
5.679468780E-1,9.973824024E-3,-1.802277565E-2,1.182937622E-2,2.375356288E-2
5.726417220E-1,4.118680954E-4,-1.784004271E-2,9.358406067E-3,2.014985170E-2
5.773365660E-1,-3.036937118E-2,-1.291397214E-2,4.537582397E-3,3.331154509E-2
5.820314100E-1,-3.010249138E-2,1.433447003E-3,1.873779297E-2,3.548689396E-2
5.867262530E-1,-2.031865716E-2,3.797799349E-3,1.973152161E-3,2.076449947E-2
5.914210970E-1,-3.917613626E-2,3.742247820E-3,-1.940059662E-2,4.387661359E-2
5.961159410E-1,-2.699857950E-2,-1.052552462E-2,-2.629280090E-3,2.909678809E-2
6.008108370E-1,-4.339760542E-2,8.546859026E-3,-4.980087280E-3,4.451069787E-2
6.055056810E-1,-5.013972521E-2,6.103470922E-3,-1.917457581E-2,5.402692624E-2
6.102005240E-1,-4.965108633E-2,1.554574072E-2,-2.403259277E-3,5.208335707E-2
6.148953680E-1,-2.786648273E-2,1.304401457E-2,4.735946655E-3,3.113063390E-2
6.195902120E-1,-2.764812112E-2,1.293691993E-2,-3.564262390E-2,4.692738153E-2
6.242850560E-1,-2.737513185E-2,2.469512820E-2,2.621650696E-3,3.696106401E-2
6.289798990E-1,-2.478799224E-2,2.206163108E-2,5.954647064E-2,6.816848459E-2
6.336747430E-1,-1.032975316E-2,3.614489734E-2,-4.060935974E-2,5.533784874E-2
6.383695870E-1,-7.947683334E-4,4.536594450E-2,7.185935974E-3,4.593841805E-2
6.430644310E-1,-1.032233238E-2,1.651582122E-2,-4.738807678E-3,2.004443051E-2
6.477592740E-1,1.585990191E-3,4.485437274E-2,1.665496826E-2,4.787293689E-2
6.524541180E-1,-1.033374667E-2,2.312624454E-2,-9.536743164E-5,2.533019151E-2
6.571490140E-1,-1.500889659E-2,8.728772402E-3,-2.466201782E-3,1.753683540E-2
6.618438580E-1,1.354753971E-2,2.052387595E-2,9.417533875E-3,2.633353870E-2
6.665387010E-1,2.997338772E-2,2.272915840E-2,1.408290863E-2,4.016649012E-2
6.712335450E-1,1.790121198E-2,2.966091037E-2,9.221076965E-3,3.585040104E-2
6.759283890E-1,1.059016585E-2,1.995384693E-2,6.770133972E-3,2.358267021E-2
6.806232330E-1,3.415876627E-2,-8.682698011E-3,2.806758881E-2,4.505552241E-2
6.853180760E-1,3.863260150E-2,-6.233125925E-3,8.852005005E-3,4.012091412E-2
6.900129200E-1,3.360635042E-2,-1.432001591E-3,1.827049255E-2,3.827856209E-2
6.947077640E-1,3.333899379E-2,-1.387521625E-3,-1.035594940E-2,3.493793656E-2
6.994026080E-1,2.118176222E-2,-2.032737434E-2,1.108741760E-2,3.138152366E-2
7.040974510E-1,1.627221704E-2,-3.515258431E-3,-2.459812164E-2,2.970201470E-2
7.087922950E-1,1.612108946E-2,-8.227407932E-3,1.708984375E-3,1.817966980E-2
7.134871390E-1,3.026494384E-2,-1.764604449E-2,2.067852020E-2,4.068108786E-2
7.181820350E-1,1.578816772E-2,-2.935908735E-2,-3.406906128E-2,4.766469539E-2
7.228768780E-1,3.777176142E-3,-4.572120309E-2,-5.655288696E-4,4.588044566E-2
7.275717220E-1,-5.732595921E-3,-3.581701219E-2,1.130580902E-2,3.799397763E-2
7.322665660E-1,1.805722713E-2,-9.413421154E-3,-2.438163757E-2,3.176696713E-2
7.369614100E-1,8.428454399E-3,-3.303216398E-2,-7.566452026E-3,3.492010734E-2
7.416562530E-1,-1.301327348E-2,-1.142486930E-2,-9.878158569E-3,1.993617169E-2
7.463510970E-1,-2.241134644E-2,-1.844488084E-2,-7.422447205E-3,2.995955275E-2
7.510459410E-1,-1.512038708E-2,-2.063331008E-2,-2.431869507E-4,2.558160922E-2
7.557407850E-1,-2.444389462E-2,-6.221577525E-3,-2.403259277E-4,2.522438835E-2
7.604356280E-1,-1.710829139E-2,-1.094029844E-2,-9.729385376E-3,2.251765316E-2
7.651304720E-1,-2.412703633E-2,-1.559236646E-2,1.408004761E-2,3.199192890E-2
7.698253160E-1,-2.153930068E-2,1.150235534E-3,-1.451015472E-2,2.599632870E-2
7.745202120E-1,-3.086519241E-2,-3.659948707E-3,3.069305420E-2,4.368202037E-2
7.792150560E-1,-3.296601772E-2,-3.628745675E-3,-9.901046753E-3,3.461151321E-2
7.839098990E-1,-3.267693520E-2,1.535794139E-2,-5.015754700E-2,6.180152084E-2
7.886047430E-1,3.147095442E-3,2.229286730E-2,1.669883728E-2,2.803082783E-2
7.932995870E-1,-3.984004259E-3,1.733562350E-2,2.130508423E-2,2.775432842E-2
7.979944310E-1,1.267427206E-2,5.383893847E-3,-2.632808685E-2,2.971180982E-2
