"event","experiment time","system time","system time text"
"START",0.000000000E0,1770545626.512,"2026-02-08 13:13:46.512 UTC+03:00"
"PAUSE",5.787990936E0,1770545632.300,"2026-02-08 13:13:52.300 UTC+03:00"
