"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.050516700E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
1.510641700E-2,2.413600683E-3,2.115964890E-6,9.572029114E-3,9.871636850E-3
1.980136500E-2,1.380443573E-4,3.193676472E-3,-4.782676697E-3,5.752618711E-3
2.449626100E-2,-1.679450274E-3,4.191964865E-3,-1.794338226E-2,1.850292111E-2
2.919110500E-2,-1.489251852E-3,5.314379930E-3,-2.392768860E-2,2.455595217E-2
3.388600100E-2,6.653130054E-3,1.240703464E-2,1.794433594E-2,2.280784602E-2
3.858084400E-2,-6.565004587E-3,2.499327064E-2,2.358531952E-2,3.498614239E-2
4.327574000E-2,2.644002438E-3,5.146667361E-3,-1.076698303E-2,1.222320978E-2
4.797063600E-2,-8.397221565E-3,-1.243835688E-2,-2.020740509E-2,2.517072252E-2
5.266553200E-2,-3.365129232E-3,1.034405828E-2,1.842117310E-2,2.139306557E-2
5.736037600E-2,7.856488228E-3,1.373164356E-2,8.045196533E-3,1.774845428E-2
6.205527100E-2,-5.866378546E-3,8.203029633E-3,-5.784034729E-3,1.162579675E-2
6.675011500E-2,-5.427807570E-3,7.549047470E-3,-1.859188080E-2,2.078718943E-2
7.144501100E-2,6.029605865E-3,2.570018172E-3,9.398460388E-3,1.145828076E-2
7.613990700E-2,1.008075476E-2,3.143560886E-2,-6.860733032E-3,3.371778135E-2
8.083475100E-2,1.397703588E-2,1.601527631E-2,1.151466370E-2,2.417507161E-2
8.552964600E-2,-7.099896669E-3,1.507653296E-2,6.333351135E-3,1.782755495E-2
9.022454200E-2,-2.173125744E-3,6.575286388E-4,-2.791595459E-2,2.800812989E-2
9.491938600E-2,-1.111233234E-2,1.644061506E-2,-1.284694672E-2,2.363941187E-2
9.961428200E-2,-1.281595230E-2,-3.173351288E-4,2.871227264E-2,3.144429893E-2
1.043091780E-1,-7.660984993E-3,1.112262905E-2,4.556655884E-3,1.425365500E-2
1.090040210E-1,-2.758443356E-3,6.107330322E-3,2.066612244E-3,7.012801122E-3
1.136989170E-1,4.241228104E-3,3.502696753E-3,1.113033295E-2,1.241536193E-2
1.183938130E-1,1.730293036E-3,2.399896085E-2,-7.678985596E-3,2.525689719E-2
1.230886570E-1,-5.244106054E-3,1.615178585E-2,-7.371902466E-3,1.851285446E-2
1.277835530E-1,-1.195934415E-2,-5.427449942E-4,-1.169013977E-2,1.673259850E-2
1.324784490E-1,-6.921917200E-3,8.725687861E-3,-4.345893860E-3,1.195564134E-2
1.371732920E-1,2.334713936E-4,1.496106386E-3,9.654045105E-3,9.772073992E-3
1.418681880E-1,-4.381686449E-3,-8.616298437E-4,2.390861511E-3,5.065352988E-3
1.465630840E-1,9.628117085E-3,-2.858476341E-2,4.624366760E-3,3.051514551E-2
1.512579280E-1,1.284480095E-5,-2.158254385E-3,-2.472877502E-3,3.282278191E-3
1.559528240E-1,2.289623022E-3,-1.596811414E-2,-1.398563385E-2,2.134996480E-2
1.606477190E-1,-4.727780819E-3,-8.545935154E-3,1.660251617E-2,1.926209912E-2
1.653425630E-1,-6.897598505E-3,-1.061286032E-2,-1.407718658E-2,1.893084392E-2
1.700374590E-1,-2.064287663E-3,-2.428130805E-2,-6.701469421E-3,2.527356122E-2
1.747323030E-1,1.423653960E-2,-1.659668982E-2,-6.515502930E-3,2.281624315E-2
1.794271990E-1,1.381003857E-2,-2.781233191E-2,2.970695496E-3,3.119403795E-2
1.841220940E-1,-9.836882353E-3,-1.542849839E-2,-8.755683899E-3,2.028459557E-2
1.888169380E-1,-9.569615126E-3,-1.969312131E-2,2.410984039E-2,3.256809734E-2
1.935118340E-1,1.629151404E-2,-7.532343268E-3,1.184177399E-2,2.150295877E-2
1.982067300E-1,4.180699587E-3,6.689324975E-3,-7.122039795E-3,1.062773581E-2
2.029015740E-1,1.731902361E-3,1.861810684E-3,-1.396083832E-2,1.419051907E-2
2.075964690E-1,-7.587850094E-3,-2.851635218E-3,-1.129627228E-2,1.390370669E-2
2.122913650E-1,1.364496350E-2,-1.447559893E-2,-4.024505615E-3,2.029592666E-2
2.169862090E-1,3.204479814E-2,-2.451449633E-3,7.762908936E-3,3.306268967E-2
2.216811050E-1,1.492197812E-2,1.167722046E-2,-8.790016174E-3,2.088749130E-2
2.263760010E-1,2.909332514E-3,-4.961133003E-3,3.107070923E-3,6.536891163E-3
2.310708440E-1,7.493376732E-3,-4.854306579E-3,-2.976036072E-2,3.107079106E-2
2.357657400E-1,1.673153043E-2,-2.408519387E-3,3.664016724E-3,1.729653418E-2
2.404605840E-1,1.172211766E-2,1.637423038E-2,2.000617981E-2,2.838610036E-2
2.451554800E-1,1.382400095E-2,1.136556268E-2,-3.903388977E-2,4.294093115E-2
2.498503760E-1,-5.368888378E-4,1.349800825E-2,1.334667206E-2,1.898994817E-2
2.545452190E-1,-5.402266979E-4,3.856107593E-3,1.544284821E-2,1.592617253E-2
2.592401150E-1,-7.617831230E-3,6.165310740E-3,-4.355621338E-2,4.464511320E-2
2.639350110E-1,1.932382584E-3,3.707394004E-3,6.295681000E-2,6.309547367E-2
2.686298550E-1,-7.488727570E-3,2.479626238E-2,-8.668899536E-3,2.731456549E-2
2.733247510E-1,6.760776043E-3,-3.843918443E-3,-4.377937317E-2,4.446478738E-2
2.780196460E-1,1.376925409E-2,-1.478478312E-3,6.985187531E-2,7.121139473E-2
2.827144900E-1,-7.592797279E-3,5.635544658E-3,-2.777290344E-2,2.933844065E-2
2.874093860E-1,6.664484739E-3,1.501429081E-2,-3.201389313E-2,3.598240735E-2
2.921042820E-1,-4.925131798E-4,1.477313042E-2,4.853343964E-2,5.073443322E-2
2.967991260E-1,-7.477521896E-3,7.476389408E-3,7.730484009E-3,1.309847759E-2
3.014940210E-1,-2.635359764E-3,-1.615849137E-2,-1.593875885E-2,2.284920126E-2
3.061888650E-1,-2.637803555E-3,-6.450563669E-3,7.863998413E-3,1.050762819E-2
