"event","experiment time","system time","system time text"
"START",0.000000000E0,1770545533.183,"2026-02-08 13:12:13.183 UTC+03:00"
"PAUSE",4.444078123E0,1770545537.627,"2026-02-08 13:12:17.627 UTC+03:00"
